IoU,Dice,Sensitivity,Specificity,Precision,Accuracy
0.65060455,0.78832275,0.9672218,0.97018766,0.6652727,0.9700165
0.93570346,0.9667839,0.99597424,0.9987557,0.9392559,0.998703
0.0,0.0,0.0,1.0,0.0,0.9655762
0.08265572,0.15269068,0.9980934,0.81983966,0.082668774,0.8226929
0.7686261,0.8691788,0.9602904,0.9907586,0.7938581,0.9896698
0.41592047,0.5874913,0.42058012,0.99721926,0.9740537,0.8825531
0.46155024,0.63159,0.46843904,0.9983758,0.96912193,0.94636536
0.81208134,0.8962968,0.862026,0.9800824,0.9334054,0.9512024
0.6354563,0.7770997,0.6361656,0.99857664,0.99824846,0.79545593
0.6474372,0.78599316,0.75214994,0.9439753,0.8230255,0.8946228
0.9570354,0.9780461,0.9593023,0.99981934,0.99753696,0.99694824
0.19312978,0.3237364,0.73333335,0.98519737,0.20771757,0.98387146
0.7688182,0.86930156,0.9319411,0.9234124,0.81455225,0.92567444
0.7987546,0.8881196,0.809395,0.99416256,0.98380816,0.9378662
0.9066736,0.9510528,0.9383094,0.99286973,0.9641471,0.98361206
0.92008156,0.9583776,0.9271037,0.99858993,0.991835,0.987442
0.9333875,0.9655462,0.9431285,0.99843884,0.9890556,0.99124146
0.97091186,0.9852413,0.98377305,0.9978752,0.9867139,0.9959259
0.8264696,0.9049913,0.8818006,0.98189396,0.9294349,0.96058655
0.8510064,0.91950667,0.93728036,0.99393564,0.9023946,0.9907379
0.89612377,0.94521654,0.9031871,0.9992295,0.9913485,0.9906769
0.7560143,0.8610571,0.7993469,0.987625,0.9330926,0.9541931
0.89909345,0.946866,0.99867946,0.9887185,0.90016365,0.9896393
0.8829714,0.937849,0.96744305,0.99379295,0.91001177,0.9921875
0.0,0.0,0.0,0.99919415,0.0,0.9838257
0.46702316,0.636695,0.46891993,0.99676555,0.9914132,0.76275635
0.5874358,0.7401065,0.5882646,0.9996822,0.9976073,0.92404175
4.15835e-05,8.316354e-05,0.00014596409,0.7069609,5.8146295e-05,0.6330719
0.8962988,0.9453139,0.9173115,0.9964309,0.9750798,0.9859772
0.3213048,0.4863447,0.3337145,0.97824585,0.8962693,0.74601746
0.7603744,0.8638781,0.77022755,0.9993427,0.9834544,0.98828125
0.9202314,0.95845884,0.9284288,0.99901736,0.99049646,0.9920044
